id,n_vulns,vulns,total_cvss,max_cvss,site,Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email
52,0,set(),0,0,AI.GOV,AI.GOV,Federal Agency - Executive,Executive Office of the President,Executive Office of the President,Washington,DC,(blank)
53,0,set(),0,0,AIDMONTANA.GOV,AIDMONTANA.GOV,State/Local Govt,Non-Federal Agency,Montana Department of Justice,Helena,MT,dojsecurity@mt.gov
54,0,set(),0,0,AIDS.GOV,AIDS.GOV,Federal Agency - Executive,Department of Health and Human Services,Health and Human Services,Washington,DC,(blank)
55,0,set(),0,0,AIKENCOUNTYSC.GOV,AIKENCOUNTYSC.GOV,County,Non-Federal Agency,Aiken County Government,Aiken,SC,(blank)
56,3,"{'CVE-2019-0211', 'CVE-2019-0217', 'CVE-2019-0215'}",19.2,7.2,AIRNOW.GOV,AIRNOW.GOV,Federal Agency - Executive,Environmental Protection Agency,Environmental Protection Agency,Durham,NC,(blank)
57,0,set(),0,0,AKLEG.GOV,AKLEG.GOV,State/Local Govt,Non-Federal Agency,Alaska Legislature,Juneau,AK,(blank)
58,0,set(),0,0,AKRONOHIO.GOV,AKRONOHIO.GOV,City,Non-Federal Agency,"City of Akron, Ohio",Akron,OH,(blank)
59,26,"{'CVE-2019-9637', 'CVE-2016-7478', 'CVE-2015-8994', 'CVE-2019-9641', 'CVE-2019-9020', 'CVE-2018-19520', 'CVE-2018-10545', 'CVE-2018-10549', 'CVE-2019-6977', 'CVE-2018-10547', 'CVE-2019-9021', 'CVE-2019-9638', 'CVE-2017-16642', 'CVE-2018-10546', 'CVE-2018-19935', 'CVE-2018-19395', 'CVE-2018-14883', 'CVE-2019-9024', 'CVE-2019-9639', 'CVE-2018-19396', 'CVE-2018-10548', 'CVE-2014-9767', 'CVE-2019-9023', 'CVE-2018-15132', 'CVE-2018-20783', 'CVE-2018-17082'}",146.7,7.5,AL-LEGISLATURE.GOV,AL-LEGISLATURE.GOV,State/Local Govt,Non-Federal Agency,State of Alabama,Montgomery,AL,(blank)
60,0,set(),0,0,AL.GOV,AL.GOV,State/Local Govt,Non-Federal Agency,State of Alabama,Montgomery,AL,(blank)
61,0,set(),0,0,ALABAMA.GOV,ALABAMA.GOV,State/Local Govt,Non-Federal Agency,State of Alabama,Montgomery,AL,(blank)
62,0,set(),0,0,ALABAMAAGELINE.GOV,ALABAMAAGELINE.GOV,State/Local Govt,Non-Federal Agency,Alabama Department of Senior Services,Montgomery,AL,(blank)
63,0,set(),0,0,ALABAMADEMENTIA.GOV,ALABAMADEMENTIA.GOV,State/Local Govt,Non-Federal Agency,Alabama Department of Senior Services,Montgomery,AL,(blank)
64,0,set(),0,0,ALABAMAHOUSEPHOTOS.GOV,ALABAMAHOUSEPHOTOS.GOV,State/Local Govt,Non-Federal Agency,Alabama Legislature,Montgomery,AL,(blank)
65,6,"{'CVE-2008-0074', 'CVE-2008-1446', 'CVE-2009-2521', 'CVE-2010-1899', 'CVE-2009-3555', 'CVE-2010-1256'}",37.4,9,ALABAMAPUBLICHEALTH.GOV,ALABAMAPUBLICHEALTH.GOV,State/Local Govt,Non-Federal Agency,Alabama Department of Public Health,Montgomery,AL,(blank)
66,0,set(),0,0,ALABAMASMP.GOV,ALABAMASMP.GOV,State/Local Govt,Non-Federal Agency,Alabama Department of Senior Services,Montgomery,AL,(blank)
67,0,set(),0,0,ALABAMAVOTES.GOV,ALABAMAVOTES.GOV,State/Local Govt,Non-Federal Agency,Alabama Secretary of State,Montgomery,AL,(blank)
68,5,"{'CVE-2010-3972', 'CVE-2012-2531', 'CVE-2010-1899', 'CVE-2010-1256', 'CVE-2010-2730'}",34.2,10,ALABC.GOV,ALABC.GOV,State/Local Govt,Non-Federal Agency,Alabama Alcoholic Beverage Control Board,Montgomery,AL,INFOSEC@abc.alabama.gov
69,0,set(),0,0,ALABCBOARD.GOV,ALABCBOARD.GOV,State/Local Govt,Non-Federal Agency,Alabama Alcoholic Beverage Control Board,Montgomery,AL,INFOSEC@abc.alabama.gov
70,0,set(),0,0,ALACOP.GOV,ALACOP.GOV,State/Local Govt,Non-Federal Agency,Alabama Law Enforcement Agency,Montgomery,AL,(blank)
71,0,set(),0,0,ALAMEDACA.GOV,ALAMEDACA.GOV,City,Non-Federal Agency,City of Alameda,Alameda,CA,(blank)
72,0,set(),0,0,ALAMOHEIGHTSTX.GOV,ALAMOHEIGHTSTX.GOV,City,Non-Federal Agency,City of Alamo Heights,Alamo Heights,TX,(blank)
73,6,"{'CVE-2008-0074', 'CVE-2008-1446', 'CVE-2009-2521', 'CVE-2010-1899', 'CVE-2009-3555', 'CVE-2010-1256'}",37.4,9,ALASAFE.GOV,ALASAFE.GOV,State/Local Govt,Non-Federal Agency,Alabama Law Enforcement Agency,Montgomery,AL,(blank)
