,n_vulns,vulns,cvss
./shodan-output/ABERDEENWA.GOV.json,3,"{'CVE-2017-15906', 'CVE-2018-15919', 'CVE-2018-15473'}",15.0
./shodan-output/ABILENETX.GOV.json,0,set(),0.0
./shodan-output/ABILITYONE.GOV.json,5,"{'CVE-2012-2531', 'CVE-2010-3972', 'CVE-2010-1899', 'CVE-2010-2730', 'CVE-2010-1256'}",34.2
./shodan-output/ABINGDON-VA.GOV.json,11,"{'CVE-2017-15906', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2018-15473', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2010-4478'}",52.1
./shodan-output/ABINGTONMA.GOV.json,0,set(),0.0
./shodan-output/ABINGTONPA.GOV.json,0,set(),0.0
./shodan-output/ABLETN.GOV.json,10,"{'CVE-2017-15906', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2010-4755', 'CVE-2010-5107', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2010-4478'}",47.1
./shodan-output/ABMC.GOV.json,107,"{'CVE-2011-1153', 'CVE-2012-3450', 'CVE-2018-19395', 'CVE-2010-4150', 'CVE-2012-2386', 'CVE-2013-1643', 'CVE-2014-4721', 'CVE-2011-0421', 'CVE-2019-9021', 'CVE-2013-4248', 'CVE-2012-0788', 'CVE-2011-1468', 'CVE-2011-3182', 'CVE-2017-9067', 'CVE-2018-10546', 'CVE-2013-1824', 'CVE-2013-2110', 'CVE-2011-1471', 'CVE-2018-14883', 'CVE-2019-9637', 'CVE-2014-1692', 'CVE-2011-1092', 'CVE-2011-1469', 'CVE-2018-10545', 'CVE-2012-2688', 'CVE-2014-0238', 'CVE-2018-19520', 'CVE-2011-3268', 'CVE-2019-9023', 'CVE-2012-0057', 'CVE-2011-1467', 'CVE-2010-3709', 'CVE-2018-19396', 'CVE-2019-9639', 'CVE-2010-2950', 'CVE-2014-2497', 'CVE-2019-6339', 'CVE-2012-0831', 'CVE-2011-1470', 'CVE-2012-2311', 'CVE-2010-3710', 'CVE-2018-10549', 'CVE-2011-0708', 'CVE-2019-9020', 'CVE-2016-7478', 'CVE-2011-1938', 'CVE-2010-4699', 'CVE-2011-1148', 'CVE-2012-2336', 'CVE-2018-15473', 'CVE-2013-4113', 'CVE-2015-8994', 'CVE-2016-10708', 'CVE-2012-2376', 'CVE-2016-0777', 'CVE-2010-5107', 'CVE-2012-0814', 'CVE-2011-2202', 'CVE-2010-3436', 'CVE-2019-9641', 'CVE-2013-6420', 'CVE-2011-3267', 'CVE-2019-9638', 'CVE-2018-17082', 'CVE-2012-3365', 'CVE-2019-6977', 'CVE-2017-16642', 'CVE-2011-4885', 'CVE-2010-4698', 'CVE-2010-4700', 'CVE-2014-9427', 'CVE-2011-1398', 'CVE-2018-20783', 'CVE-2011-4718', 'CVE-2011-2483', 'CVE-2010-4645', 'CVE-2019-6338', 'CVE-2010-4755', 'CVE-2012-1171', 'CVE-2018-15132', 'CVE-2012-1172', 'CVE-2018-10547', 'CVE-2012-0789', 'CVE-2011-0755', 'CVE-2010-4156', 'CVE-2011-1466', 'CVE-2018-10548', 'CVE-2013-1635', 'CVE-2019-6341', 'CVE-2012-2143', 'CVE-2010-4697', 'CVE-2006-7243', 'CVE-2011-5000', 'CVE-2011-4327', 'CVE-2010-3870', 'CVE-2012-1823', 'CVE-2011-1464', 'CVE-2011-0754', 'CVE-2010-4478', 'CVE-2017-15906', 'CVE-2019-9024', 'CVE-2011-0753', 'CVE-2010-4409', 'CVE-2014-0237', 'CVE-2014-5459', 'CVE-2013-4635', 'CVE-2018-19935'}",589.8000000000001
./shodan-output/ABSECONNJ.GOV.json,11,"{'CVE-2017-15906', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2018-15473', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2010-4478'}",52.1
./shodan-output/ABSENTEESHAWNEETRIBE-NSN.GOV.json,19,"{'CVE-2017-9788', 'CVE-2016-8743', 'CVE-2018-17199', 'CVE-2017-9798', 'CVE-2018-11763', 'CVE-2016-1546', 'CVE-2017-15715', 'CVE-2016-8740', 'CVE-2017-7668', 'CVE-2018-1333', 'CVE-2016-8612', 'CVE-2017-3167', 'CVE-2017-3169', 'CVE-2017-7679', 'CVE-2018-1283', 'CVE-2016-4979', 'CVE-2018-1312', 'CVE-2017-15710', 'CVE-2016-4975'}",104.69999999999999
./shodan-output/ACCESS-BOARD.GOV.json,20,"{'CVE-2014-8109', 'CVE-2017-9788', 'CVE-2014-3583', 'CVE-2016-8743', 'CVE-2015-3184', 'CVE-2016-0736', 'CVE-2017-9798', 'CVE-2018-17199', 'CVE-2017-15715', 'CVE-2015-3185', 'CVE-2016-2161', 'CVE-2016-8612', 'CVE-2016-4975', 'CVE-2017-3167', 'CVE-2017-3169', 'CVE-2017-7679', 'CVE-2018-1283', 'CVE-2017-15710', 'CVE-2018-1312', 'CVE-2017-7668'}",109.69999999999999
./shodan-output/ACCESSIBILITY.GOV.json,8,"{'CVE-2012-2531', 'CVE-2010-3972', 'CVE-2019-6338', 'CVE-2010-1899', 'CVE-2019-6339', 'CVE-2010-2730', 'CVE-2019-6341', 'CVE-2010-1256'}",51.2
./shodan-output/ACF.GOV.json,2,"{'CVE-2017-15906', 'CVE-2018-15919'}",10.0
./shodan-output/ACHP.GOV.json,2,"{'CVE-2019-6340', 'CVE-2019-6341'}",10.3
./shodan-output/ACL.GOV.json,0,set(),0.0
./shodan-output/ACQUISITION.GOV.json,3,"{'CVE-2019-6338', 'CVE-2019-6339', 'CVE-2019-6341'}",17.0
./shodan-output/ACTIONPLANFOROREGON.GOV.json,0,set(),0.0
./shodan-output/ACTON-MA.GOV.json,0,set(),0.0
./shodan-output/ACTONMA.GOV.json,0,set(),0.0
./shodan-output/ACUS.GOV.json,0,set(),0.0
./shodan-output/ACWI.GOV.json,0,set(),0.0
./shodan-output/ADAMN.GOV.json,2,"{'CVE-2015-1635', 'MS15-034'}",20.0
./shodan-output/ADAMSCOUNTYMS.GOV.json,14,"{'CVE-2018-1302', 'CVE-2018-17199', 'CVE-2018-11763', 'CVE-2019-6338', 'CVE-2017-15715', 'CVE-2018-1333', 'CVE-2018-1301', 'CVE-2018-1303', 'CVE-2019-6339', 'CVE-2018-1283', 'CVE-2019-0211', 'CVE-2017-15710', 'CVE-2019-6341', 'CVE-2018-1312'}",74.19999999999999
./shodan-output/ADAMSCOUNTYOH.GOV.json,34,"{'CVE-2018-10547', 'CVE-2018-19396', 'CVE-2019-9639', 'CVE-2019-9641', 'CVE-2018-10548', 'CVE-2017-3167', 'CVE-2018-19395', 'CVE-2015-5590', 'CVE-2019-9638', 'CVE-2018-17082', 'CVE-2019-9021', 'CVE-2016-8612', 'CVE-2019-6977', 'CVE-2018-10549', 'CVE-2019-9020', 'CVE-2017-16642', 'CVE-2017-7668', 'CVE-2016-7478', 'CVE-2015-5589', 'CVE-2018-10546', 'CVE-2018-14883', 'CVE-2019-9637', 'CVE-2019-9024', 'CVE-2016-4975', 'CVE-2018-20783', 'CVE-2015-8994', 'CVE-2018-10545', 'CVE-2018-19520', 'CVE-2017-3169', 'CVE-2017-7679', 'CVE-2018-15132', 'CVE-2015-8838', 'CVE-2019-9023', 'CVE-2018-19935'}",201.8
./shodan-output/ADDISONTX.GOV.json,0,set(),0.0
./shodan-output/ADELANTOCA.GOV.json,0,set(),0.0
./shodan-output/ADF.GOV.json,0,set(),0.0
./shodan-output/ADLNET.GOV.json,0,set(),0.0
./shodan-output/ADMONGO.GOV.json,0,set(),0.0
./shodan-output/ADRCNJ.GOV.json,0,set(),0.0
./shodan-output/ADRIANMI.GOV.json,0,set(),0.0
./shodan-output/AFADVANTAGE.GOV.json,0,set(),0.0
./shodan-output/AFRICANAMERICANHISTORYMONTH.GOV.json,118,"{'CVE-2011-1153', 'CVE-2009-2626', 'CVE-2010-3065', 'CVE-2018-19395', 'CVE-2012-2386', 'CVE-2009-4018', 'CVE-2013-1643', 'CVE-2011-0421', 'CVE-2018-20152', 'CVE-2019-9021', 'CVE-2013-4248', 'CVE-2012-0788', 'CVE-2010-2100', 'CVE-2011-1468', 'CVE-2011-3182', 'CVE-2018-10546', 'CVE-2013-2110', 'CVE-2018-14883', 'CVE-2019-9637', 'CVE-2010-1864', 'CVE-2011-1092', 'CVE-2011-1469', 'CVE-2018-10545', 'CVE-2010-2531', 'CVE-2011-0752', 'CVE-2012-2688', 'CVE-2010-2484', 'CVE-2010-2101', 'CVE-2018-14028', 'CVE-2014-0238', 'CVE-2018-19520', 'CVE-2011-3268', 'CVE-2019-9023', 'CVE-2012-0057', 'CVE-2018-20148', 'CVE-2011-1467', 'CVE-2010-3709', 'CVE-2009-4142', 'CVE-2018-19396', 'CVE-2019-9639', 'CVE-2014-2497', 'CVE-2009-1271', 'CVE-2012-0831', 'CVE-2011-1470', 'CVE-2012-2311', 'CVE-2018-20149', 'CVE-2010-1861', 'CVE-2010-3710', 'CVE-2010-1917', 'CVE-2018-10549', 'CVE-2011-0708', 'CVE-2019-9020', 'CVE-2010-1128', 'CVE-2016-7478', 'CVE-2010-4699', 'CVE-2012-2336', 'CVE-2010-1868', 'CVE-2018-20147', 'CVE-2010-2191', 'CVE-2010-2093', 'CVE-2015-8994', 'CVE-2009-3291', 'CVE-2012-2376', 'CVE-2009-3294', 'CVE-2008-5498', 'CVE-2019-9641', 'CVE-2011-3267', 'CVE-2019-9638', 'CVE-2010-1915', 'CVE-2018-17082', 'CVE-2018-20150', 'CVE-2012-3365', 'CVE-2019-6977', 'CVE-2010-2190', 'CVE-2017-16642', 'CVE-2009-3293', 'CVE-2010-1130', 'CVE-2011-4885', 'CVE-2009-1272', 'CVE-2019-8942', 'CVE-2010-1914', 'CVE-2019-9787', 'CVE-2014-9427', 'CVE-2009-3292', 'CVE-2018-20783', 'CVE-2011-4718', 'CVE-2011-2483', 'CVE-2010-4645', 'CVE-2010-1862', 'CVE-2010-2225', 'CVE-2018-20151', 'CVE-2012-1171', 'CVE-2018-15132', 'CVE-2012-1172', 'CVE-2018-10547', 'CVE-2012-0789', 'CVE-2011-0755', 'CVE-2011-1466', 'CVE-2018-10548', 'CVE-2018-20153', 'CVE-2013-1635', 'CVE-2012-2143', 'CVE-2010-4697', 'CVE-2006-7243', 'CVE-2009-4143', 'CVE-2010-3870', 'CVE-2012-1823', 'CVE-2011-1464', 'CVE-2007-1581', 'CVE-2019-9024', 'CVE-2010-1129', 'CVE-2014-0237', 'CVE-2009-4418', 'CVE-2014-5459', 'CVE-2010-2097', 'CVE-2010-1860', 'CVE-2013-4635', 'CVE-2018-19935'}",674.3000000000001
./shodan-output/AFTONWYOMING.GOV.json,11,"{'CVE-2017-15906', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2018-15473', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2010-4478'}",52.1
./shodan-output/AGAZ.GOV.json,0,set(),0.0
./shodan-output/AGING.GOV.json,3,"{'CVE-2019-0211', 'CVE-2019-0215', 'CVE-2019-0217'}",19.2
./shodan-output/AGINGSTATS.GOV.json,0,set(),0.0
./shodan-output/AGUACALIENTE-NSN.GOV.json,0,set(),0.0
./shodan-output/AHA-NSN.GOV.json,23,"{'CVE-2017-9788', 'CVE-2016-0736', 'CVE-2014-0231', 'CVE-2016-8612', 'CVE-2014-0226', 'CVE-2014-0117', 'CVE-2014-8109', 'CVE-2016-8743', 'CVE-2017-15715', 'CVE-2015-3185', 'CVE-2014-0098', 'CVE-2013-6438', 'CVE-2018-1283', 'CVE-2017-15710', 'CVE-2016-4975', 'CVE-2015-3184', 'CVE-2018-17199', 'CVE-2017-9798', 'CVE-2014-0118', 'CVE-2016-2161', 'CVE-2017-7679', 'CVE-2018-1312', 'CVE-2014-3523'}",117.6
./shodan-output/AHCPR.GOV.json,0,set(),0.0
./shodan-output/AHOSKIENC.GOV.json,0,set(),0.0
./shodan-output/AHRQ.GOV.json,0,set(),0.0
./shodan-output/AI.GOV.json,0,set(),0.0
./shodan-output/AIDMONTANA.GOV.json,0,set(),0.0
./shodan-output/AIDS.GOV.json,0,set(),0.0
./shodan-output/AIKENCOUNTYSC.GOV.json,0,set(),0.0
./shodan-output/AIRNOW.GOV.json,3,"{'CVE-2019-0211', 'CVE-2019-0215', 'CVE-2019-0217'}",19.2
./shodan-output/AKLEG.GOV.json,0,set(),0.0
./shodan-output/AKRONOHIO.GOV.json,0,set(),0.0
./shodan-output/AL-LEGISLATURE.GOV.json,26,"{'CVE-2018-10547', 'CVE-2018-19396', 'CVE-2019-9639', 'CVE-2019-9641', 'CVE-2018-10548', 'CVE-2018-19395', 'CVE-2019-9638', 'CVE-2018-17082', 'CVE-2019-9021', 'CVE-2019-6977', 'CVE-2018-10549', 'CVE-2019-9020', 'CVE-2017-16642', 'CVE-2014-9767', 'CVE-2016-7478', 'CVE-2018-10546', 'CVE-2018-14883', 'CVE-2019-9637', 'CVE-2019-9024', 'CVE-2018-20783', 'CVE-2015-8994', 'CVE-2018-10545', 'CVE-2018-19520', 'CVE-2018-15132', 'CVE-2019-9023', 'CVE-2018-19935'}",146.7
./shodan-output/AL.GOV.json,0,set(),0.0
./shodan-output/ALABAMA.GOV.json,0,set(),0.0
./shodan-output/ALABAMAAGELINE.GOV.json,0,set(),0.0
./shodan-output/ALABAMADEMENTIA.GOV.json,0,set(),0.0
./shodan-output/ALABAMAHOUSEPHOTOS.GOV.json,0,set(),0.0
./shodan-output/ALABAMAPUBLICHEALTH.GOV.json,6,"{'CVE-2008-1446', 'CVE-2009-2521', 'CVE-2009-3555', 'CVE-2010-1899', 'CVE-2008-0074', 'CVE-2010-1256'}",37.4
./shodan-output/ALABAMASMP.GOV.json,0,set(),0.0
./shodan-output/ALABAMAVOTES.GOV.json,0,set(),0.0
./shodan-output/ALABC.GOV.json,5,"{'CVE-2012-2531', 'CVE-2010-3972', 'CVE-2010-1899', 'CVE-2010-2730', 'CVE-2010-1256'}",34.2
./shodan-output/ALABCBOARD.GOV.json,0,set(),0.0
./shodan-output/ALACOP.GOV.json,0,set(),0.0
./shodan-output/ALAMEDACA.GOV.json,0,set(),0.0
./shodan-output/ALAMOHEIGHTSTX.GOV.json,0,set(),0.0
./shodan-output/ALASAFE.GOV.json,6,"{'CVE-2008-1446', 'CVE-2009-2521', 'CVE-2009-3555', 'CVE-2010-1899', 'CVE-2008-0074', 'CVE-2010-1256'}",37.4
./shodan-output/ALASKA.GOV.json,0,set(),0.0
./shodan-output/ALASKACARE.GOV.json,29,"{'CVE-2011-3368', 'CVE-2012-0883', 'CVE-2013-2249', 'CVE-2012-4557', 'CVE-2017-3167', 'CVE-2011-3348', 'CVE-2014-0231', 'CVE-2011-3607', 'CVE-2016-8612', 'CVE-2010-2068', 'CVE-2012-4558', 'CVE-2017-7668', 'CVE-2011-3192', 'CVE-2014-0098', 'CVE-2013-6438', 'CVE-2011-4317', 'CVE-2012-2687', 'CVE-2011-0419', 'CVE-2016-4975', 'CVE-2010-1452', 'CVE-2012-0053', 'CVE-2012-3499', 'CVE-2013-1896', 'CVE-2011-3639', 'CVE-2017-3169', 'CVE-2011-4415', 'CVE-2017-7679', 'CVE-2012-0031', 'CVE-2013-1862'}",147.1
./shodan-output/ALASKACENTERS.GOV.json,0,set(),0.0
./shodan-output/ALBANYCOUNTYNY.GOV.json,0,set(),0.0
./shodan-output/ALBANYGA.GOV.json,0,set(),0.0
./shodan-output/ALBANYNY.GOV.json,0,set(),0.0
./shodan-output/ALBEMARLENC.GOV.json,0,set(),0.0
./shodan-output/ALBUQUERQUE-NM.GOV.json,0,set(),0.0
./shodan-output/ALCONSERVATIONDISTRICTS.GOV.json,0,set(),0.0
./shodan-output/ALDOI.GOV.json,0,set(),0.0
./shodan-output/ALEA.GOV.json,0,set(),0.0
./shodan-output/ALEKNAGIKAK.GOV.json,23,"{'CVE-2017-9788', 'CVE-2016-0736', 'CVE-2014-0231', 'CVE-2016-8612', 'CVE-2014-0226', 'CVE-2014-0117', 'CVE-2014-8109', 'CVE-2016-8743', 'CVE-2017-15715', 'CVE-2015-3185', 'CVE-2014-0098', 'CVE-2013-6438', 'CVE-2018-1283', 'CVE-2017-15710', 'CVE-2016-4975', 'CVE-2015-3184', 'CVE-2018-17199', 'CVE-2017-9798', 'CVE-2014-0118', 'CVE-2016-2161', 'CVE-2017-7679', 'CVE-2018-1312', 'CVE-2014-3523'}",117.6
./shodan-output/ALERTAENLINEA.GOV.json,0,set(),0.0
./shodan-output/ALEXANDERCITYAL.GOV.json,0,set(),0.0
./shodan-output/ALEXANDERCOUNTYNC.GOV.json,10,"{'CVE-2017-15906', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2010-4755', 'CVE-2010-5107', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2010-4478'}",47.1
./shodan-output/ALEXANDRIANJ.GOV.json,0,set(),0.0
./shodan-output/ALEXANDRIAVA.GOV.json,0,set(),0.0
./shodan-output/ALFREDME.GOV.json,0,set(),0.0
./shodan-output/ALGERCOUNTY.GOV.json,0,set(),0.0
./shodan-output/ALGONAWA.GOV.json,0,set(),0.0
./shodan-output/ALHOUSE.GOV.json,26,"{'CVE-2018-10547', 'CVE-2018-19396', 'CVE-2019-9639', 'CVE-2019-9641', 'CVE-2018-10548', 'CVE-2018-19395', 'CVE-2019-9638', 'CVE-2018-17082', 'CVE-2019-9021', 'CVE-2019-6977', 'CVE-2018-10549', 'CVE-2019-9020', 'CVE-2017-16642', 'CVE-2014-9767', 'CVE-2016-7478', 'CVE-2018-10546', 'CVE-2018-14883', 'CVE-2019-9637', 'CVE-2019-9024', 'CVE-2018-20783', 'CVE-2015-8994', 'CVE-2018-10545', 'CVE-2018-19520', 'CVE-2018-15132', 'CVE-2019-9023', 'CVE-2018-19935'}",146.7
./shodan-output/ALIQUIPPAPA.GOV.json,0,set(),0.0
./shodan-output/ALLEGHANYCOUNTY-NC.GOV.json,0,set(),0.0
./shodan-output/ALLEGHENYCOUNTYPA.GOV.json,0,set(),0.0
./shodan-output/ALLENDALENJ.GOV.json,11,"{'CVE-2017-15906', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2018-15473', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2010-4478'}",52.1
./shodan-output/ALLENSTOWNNH.GOV.json,0,set(),0.0
./shodan-output/ALLENTOWNPA.GOV.json,0,set(),0.0
./shodan-output/ALMONTMICHIGAN.GOV.json,0,set(),0.0
./shodan-output/ALPINECOUNTYCA.GOV.json,0,set(),0.0
./shodan-output/ALSENATE.GOV.json,26,"{'CVE-2018-10547', 'CVE-2018-19396', 'CVE-2019-9639', 'CVE-2019-9641', 'CVE-2018-10548', 'CVE-2018-19395', 'CVE-2019-9638', 'CVE-2018-17082', 'CVE-2019-9021', 'CVE-2019-6977', 'CVE-2018-10549', 'CVE-2019-9020', 'CVE-2017-16642', 'CVE-2014-9767', 'CVE-2016-7478', 'CVE-2018-10546', 'CVE-2018-14883', 'CVE-2019-9637', 'CVE-2019-9024', 'CVE-2018-20783', 'CVE-2015-8994', 'CVE-2018-10545', 'CVE-2018-19520', 'CVE-2018-15132', 'CVE-2019-9023', 'CVE-2018-19935'}",146.7
./shodan-output/ALTAVISTAVA.GOV.json,0,set(),0.0
./shodan-output/ALTON-TX.GOV.json,0,set(),0.0
./shodan-output/ALTUSANDC.GOV.json,0,set(),0.0
./shodan-output/ALTUSOK.GOV.json,0,set(),0.0
./shodan-output/ALVIN-TX.GOV.json,0,set(),0.0
./shodan-output/ALZHEIMERS.GOV.json,0,set(),0.0
./shodan-output/AMA.GOV.json,0,set(),0.0
./shodan-output/AMARILLO.GOV.json,0,set(),0.0
./shodan-output/AMENIANY.GOV.json,0,set(),0.0
./shodan-output/AMERICA.GOV.json,0,set(),0.0
./shodan-output/AMERICANMEMORY.GOV.json,0,set(),0.0
./shodan-output/AMERICANSAMOA.GOV.json,0,set(),0.0
./shodan-output/AMERICASLIBRARY.GOV.json,0,set(),0.0
./shodan-output/AMERICATHEBEAUTIFULQUARTERS.GOV.json,0,set(),0.0
./shodan-output/AMERICORP.GOV.json,26,"{'CVE-2017-9788', 'CVE-2016-0736', 'CVE-2014-0231', 'CVE-2016-8612', 'CVE-2014-0226', 'CVE-2013-4352', 'CVE-2017-15906', 'CVE-2014-0117', 'CVE-2014-8109', 'CVE-2016-8743', 'CVE-2017-15715', 'CVE-2015-3185', 'CVE-2018-15919', 'CVE-2014-0098', 'CVE-2013-6438', 'CVE-2018-1283', 'CVE-2017-15710', 'CVE-2016-4975', 'CVE-2015-3184', 'CVE-2018-17199', 'CVE-2017-9798', 'CVE-2014-0118', 'CVE-2016-2161', 'CVE-2017-7679', 'CVE-2018-1312', 'CVE-2014-3523'}",131.89999999999998
./shodan-output/AMERICORPS.GOV.json,26,"{'CVE-2017-9788', 'CVE-2016-0736', 'CVE-2014-0231', 'CVE-2016-8612', 'CVE-2014-0226', 'CVE-2013-4352', 'CVE-2017-15906', 'CVE-2014-0117', 'CVE-2014-8109', 'CVE-2016-8743', 'CVE-2017-15715', 'CVE-2015-3185', 'CVE-2018-15919', 'CVE-2013-6438', 'CVE-2014-0098', 'CVE-2018-1283', 'CVE-2017-15710', 'CVE-2016-4975', 'CVE-2015-3184', 'CVE-2018-17199', 'CVE-2017-9798', 'CVE-2014-0118', 'CVE-2016-2161', 'CVE-2017-7679', 'CVE-2018-1312', 'CVE-2014-3523'}",131.89999999999998
./shodan-output/AMERICUSGA.GOV.json,0,set(),0.0
./shodan-output/AMERYWI.GOV.json,0,set(),0.0
./shodan-output/AMESBURYMA.GOV.json,0,set(),0.0
./shodan-output/AMHERSTMA.GOV.json,0,set(),0.0
./shodan-output/AMHERSTNH.GOV.json,0,set(),0.0
